era,duration_bucket,count,share
Pre-streaming,<2:30,2458,0.12696280991735537
Pre-streaming,2:30-2:59,3464,0.17892561983471075
Pre-streaming,3:00-3:29,3076,0.15888429752066116
Pre-streaming,3:30-3:59,3664,0.18925619834710744
Pre-streaming,4:00-4:59,4793,0.24757231404958677
Pre-streaming,5:00+,1905,0.09839876033057851
Streaming growth,<2:30,172,0.0403187998124707
Streaming growth,2:30-2:59,447,0.10478199718706048
Streaming growth,3:00-3:29,1254,0.2939521800281294
Streaming growth,3:30-3:59,1338,0.3136427566807314
Streaming growth,4:00-4:59,866,0.20300046882325362
Streaming growth,5:00+,189,0.04430379746835443
Streaming native,<2:30,70,0.1206896551724138
Streaming native,2:30-2:59,174,0.3
Streaming native,3:00-3:29,164,0.2827586206896552
Streaming native,3:30-3:59,109,0.1879310344827586
Streaming native,4:00-4:59,54,0.09310344827586207
Streaming native,5:00+,9,0.015517241379310345
