year,Song,Performer,duration_min,energy,danceability,acousticness,best_rank,max_weeks_on_chart,weird_score
2010,Hallelujah (Vancouver Winter 2010 Version),k.d. lang,5.626666666666667,0.219,0.256,0.8689999999999999,61,1,10.880610012190884
2010,Don't Cry For Me Argentina (Lea Michele Version),Glee Cast,5.174216666666666,0.218,0.21,0.908,97,1,10.748635192619542
2013,I Dreamed A Dream,Anne Hathaway,4.62555,0.0773999999999999,0.269,0.938,69,3,10.54247320993877
2021,close,J. Cole,6.827333333333334,0.185,0.6129999999999999,0.8529999999999999,33,1,10.221762758056613
2019,I Love You,Billie Eilish,4.863266666666667,0.131,0.4209999999999999,0.952,53,1,9.582791156984001
2019,Listen Before I Go,Billie Eilish,4.0442,0.0561,0.319,0.935,63,1,9.519007785740724
2014,Make It Rain,Ed Sheeran,6.741333333333333,0.2389999999999999,0.6179999999999999,0.791,34,2,9.490714271729836
2014,Come Join The Murder,The White Buffalo & The Forest Rangers,7.468216666666667,0.445,0.529,0.67,93,1,9.374069466730385
2012,Video Games,Lana Del Rey,4.699333333333334,0.249,0.2359999999999999,0.811,91,1,9.326664150113777
2013,Almost Is Never Enough,Ariana Grande & Nathan Sykes,5.462883333333333,0.337,0.4,0.8309999999999998,82,2,8.82989971976445
2010,Last Kiss,Taylor Swift,6.118883333333334,0.341,0.371,0.57,71,1,8.779050429450457
2017,Fear.,Kendrick Lamar,7.676216666666667,0.4789999999999999,0.5879999999999999,0.6039999999999999,50,2,8.776299023070198
2011,For Good,Glee Cast,5.063766666666667,0.374,0.336,0.86,58,1,8.62977208144828
2020,Silent Night,Carrie Underwood,3.5185666666666666,0.169,0.2429999999999999,0.927,94,2,8.628401251870336
2012,A Thousand Years (Part 2),Christina Perri Featuring Steve Kazee,5.098216666666667,0.281,0.272,0.6179999999999999,53,3,8.612197030263175
2015,Writing's On The Wall,Sam Smith,4.649783333333334,0.3019999999999999,0.261,0.769,71,2,8.601110629428941
2011,Songbird,Glee Cast,3.3024333333333336,0.0622,0.32,0.964,68,1,8.588074114996346
2011,Marvins Room,Drake,5.7871,0.26,0.4919999999999999,0.646,21,18,8.299365688971525
