SongID,year,era,Song,Performer,duration_min,danceability,energy,loudness,acousticness,valence,tempo,best_rank,max_weeks_on_chart
"""B"" GirlsYoung And Restless",1990,Pre-streaming,"""B"" Girls",Young And Restless,4.0351,0.6149999999999999,0.497,-11.913,0.016,0.769,193.762,54,15
"""Cherry Cherry"" from Hot August NightNeil Diamond",1973,Pre-streaming,"""Cherry Cherry"" from Hot August Night",Neil Diamond,7.3886666666666665,0.34,0.948,-5.061,0.0941,0.6039999999999999,172.349,31,10
#1 Dee JayGoody Goody,1978,Pre-streaming,#1 Dee Jay,Goody Goody,3.4351,0.8589999999999999,0.376,-16.542,0.0536,0.902,127.202,82,5
#1Nelly,2001,Pre-streaming,#1,Nelly,3.312666666666667,0.792,0.6,-6.157,0.0236,0.463,89.985,22,20
#9 DreamJohn Lennon,1974,Pre-streaming,#9 Dream,John Lennon,4.780216666666667,0.406,0.5969999999999999,-11.745,0.0743999999999999,0.4779999999999999,115.474,9,12
#BeautifulMariah Carey Featuring Miguel,2013,Streaming growth,#Beautiful,Mariah Carey Featuring Miguel,3.3311,0.677,0.749,-5.405,0.3459999999999999,0.4689999999999999,107.042,15,16
#SELFIEThe Chainsmokers,2014,Streaming growth,#SELFIE,The Chainsmokers,3.0625,0.807,0.916,-3.282,0.0134,0.651,127.973,16,11
#thatPOWERwill.i.am Featuring Justin Bieber,2013,Streaming growth,#thatPOWER,will.i.am Featuring Justin Bieber,4.658433333333333,0.797,0.6079999999999999,-6.096,0.00112,0.403,128.0,17,16
$ave Dat MoneyLil Dicky Featuring Fetty Wap & Rich Homie Quan,2015,Streaming growth,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,4.84725,0.8579999999999999,0.697,-5.361,0.114,0.3639999999999999,98.012,71,19
'65 Love AffairPaul Davis,1982,Pre-streaming,'65 Love Affair,Paul Davis,3.66355,0.647,0.686,-4.247,0.432,0.952,155.697,6,20
'Til My Baby Comes HomeLuther Vandross,1985,Pre-streaming,'Til My Baby Comes Home,Luther Vandross,5.5371,0.804,0.7139999999999999,-6.714,0.0567,0.802,139.663,29,16
'Til Summer Comes AroundKeith Urban,2010,Streaming growth,'Til Summer Comes Around,Keith Urban,5.5244333333333335,0.57,0.629,-7.607999999999999,0.5929999999999999,0.308,127.907,58,16
'Til You Do Me RightAfter 7,1995,Pre-streaming,'Til You Do Me Right,After 7,4.916666666666667,0.6119999999999999,0.542,-7.562999999999999,0.0781,0.433,76.744,31,22
'TilThe Angels,1961,Pre-streaming,'Til,The Angels,2.474,0.253,0.232,-12.695,0.805,0.307,173.819,14,15
'Tis The Damn SeasonTaylor Swift,2020,Streaming native,'Tis The Damn Season,Taylor Swift,3.8306666666666667,0.5749999999999998,0.434,-8.192999999999998,0.7349999999999999,0.3479999999999999,145.916,39,2
'til I Can Make It On My OwnTammy Wynette,1976,Pre-streaming,'til I Can Make It On My Own,Tammy Wynette,3.034666666666667,0.45,0.2939999999999999,-12.022,0.8319999999999999,0.1459999999999999,141.148,84,5
('til) I Kissed YouThe Everly Brothers,1959,Pre-streaming,('til) I Kissed You,The Everly Brothers,2.4344333333333332,0.518,0.432,-11.689,0.401,0.7009999999999998,139.567,4,16
(All Of A Sudden) My Heart SingsMel Carter,1965,Pre-streaming,(All Of A Sudden) My Heart Sings,Mel Carter,2.7344333333333335,0.4179999999999999,0.532,-7.865999999999999,0.461,0.504,117.261,38,7
(All of a Sudden) My Heart SingsPaul Anka,1958,Pre-streaming,(All of a Sudden) My Heart Sings,Paul Anka,3.07,0.307,0.267,-11.898,0.809,0.39,111.322,15,17
(Any Way That You Want It) I'll Be ThereStarz,1978,Pre-streaming,(Any Way That You Want It) I'll Be There,Starz,3.4126666666666665,0.454,0.8339999999999999,-4.753,0.00248,0.5959999999999999,124.744,79,4
(Baby) Hully GullyThe Olympics,1960,Pre-streaming,(Baby) Hully Gully,The Olympics,2.1304833333333333,0.7439999999999999,0.47,-10.295,0.659,0.908,116.233,72,7
(Believed You Were) Lucky'Til Tuesday,1989,Pre-streaming,(Believed You Were) Lucky,'Til Tuesday,3.616216666666667,0.6119999999999999,0.523,-11.425,0.448,0.495,124.315,95,3
(Between A) Rock And A Hard PlaceCutting Crew,1989,Pre-streaming,(Between A) Rock And A Hard Place,Cutting Crew,3.7993333333333332,0.6149999999999999,0.8449999999999999,-9.943,0.0928,0.5849999999999999,117.444,77,5
(Bringing Out) The Girl In MeMaxine Nightingale,1979,Pre-streaming,(Bringing Out) The Girl In Me,Maxine Nightingale,3.5162166666666668,0.7119999999999999,0.753,-7.666,0.756,0.953,116.178,73,5
(Call Me Your) Anything ManBobby Moore,1975,Pre-streaming,(Call Me Your) Anything Man,Bobby Moore,6.241516666666667,0.624,0.6039999999999999,-12.401,0.0474,0.76,91.554,99,2
(Can't Live Without Your) Love And AffectionNelson,1990,Pre-streaming,(Can't Live Without Your) Love And Affection,Nelson,3.9405833333333335,0.543,0.902,-6.344,0.0354,0.8549999999999999,121.419,1,26
(Closest Thing To) PerfectJermaine Jackson,1985,Pre-streaming,(Closest Thing To) Perfect,Jermaine Jackson,3.844883333333333,0.661,0.763,-12.204,0.0205,0.905,149.974,67,7
(Come 'round Here) I'm The One You NeedThe Miracles,1966,Pre-streaming,(Come 'round Here) I'm The One You Need,The Miracles,2.5011,0.545,0.6069999999999999,-9.525,0.2419999999999999,0.767,113.88,17,9
(Dance The) Mess AroundChubby Checker,1961,Pre-streaming,(Dance The) Mess Around,Chubby Checker,2.3611,0.544,0.7249999999999999,-7.054,0.0605,0.746,141.831,24,7
(Do The New) ContinentalThe Dovells,1962,Pre-streaming,(Do The New) Continental,The Dovells,2.6222166666666666,0.682,0.784,-5.905,0.1769999999999999,0.942,120.397,37,10
(Do You) Wanna RideReel Tight,1998,Pre-streaming,(Do You) Wanna Ride,Reel Tight,3.55355,0.757,0.659,-5.525,0.185,0.878,138.045,80,1
(Don't Fear) The ReaperBlue Oyster Cult,1976,Pre-streaming,(Don't Fear) The Reaper,Blue Oyster Cult,5.1353333333333335,0.333,0.927,-8.55,0.0029,0.382,141.47,12,20
(Don't Worry) If There's A Hell Below We're All Going To GoCurtis Mayfield,1970,Pre-streaming,(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield,7.8417666666666666,0.686,0.755,-8.304,0.1489999999999999,0.686,119.895,29,12
(Everything I Do) I Do It For YouBryan Adams,1991,Pre-streaming,(Everything I Do) I Do It For You,Bryan Adams,6.568883333333333,0.519,0.372,-12.635,0.0816,0.2979999999999999,131.227,1,22
(For God's Sake) Give More Power To The PeopleThe Chi-lites,1971,Pre-streaming,(For God's Sake) Give More Power To The People,The Chi-lites,3.0022166666666665,0.665,0.552,-10.177,0.4929999999999999,0.899,96.889,26,11
(Forever) Live And DieOrchestral Manoeuvres In The Dark,1986,Pre-streaming,(Forever) Live And Die,Orchestral Manoeuvres In The Dark,3.63555,0.6049999999999999,0.545,-13.603,0.0902,0.8649999999999999,90.179,19,17
(Ghost) Riders In The SkyOutlaws,1980,Pre-streaming,(Ghost) Riders In The Sky,Outlaws,5.8566666666666665,0.228,0.896,-7.240999999999999,0.0132,0.1459999999999999,128.433,31,15
(Ghost) Riders In The SkyRamrods,1961,Pre-streaming,(Ghost) Riders In The Sky,Ramrods,2.61555,0.442,0.7169999999999999,-9.943,0.518,0.376,120.914,30,9
"(Girls, Girls, Girls) Made To LoveEddie Hodges",1962,Pre-streaming,"(Girls, Girls, Girls) Made To Love",Eddie Hodges,2.5111,0.61,0.377,-9.805,0.4139999999999999,0.519,178.06,14,11
(He's My) DreamboatConnie Francis,1961,Pre-streaming,(He's My) Dreamboat,Connie Francis,2.701766666666667,0.373,0.3639999999999999,-6.563,0.78,0.451,70.31,14,9
(He's) Raining In My SunshineJay & The Americans,1966,Pre-streaming,(He's) Raining In My Sunshine,Jay & The Americans,3.2622166666666668,0.4779999999999999,0.2979999999999999,-13.842,0.74,0.376,110.006,90,4
(He's) The Great ImpostorThe Fleetwoods,1961,Pre-streaming,(He's) The Great Impostor,The Fleetwoods,2.2016833333333334,0.499,0.249,-11.793,0.7329999999999999,0.539,117.163,30,8
(Here They Come) From All Over The WorldJan & Dean,1965,Pre-streaming,(Here They Come) From All Over The World,Jan & Dean,2.743333333333333,0.461,0.68,-10.699,0.621,0.957,149.771,56,5
(Hey Won't You Play) Another Somebody Done Somebody Wrong SongB.J. Thomas,1975,Pre-streaming,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,3.4344333333333332,0.637,0.528,-11.287,0.7439999999999999,0.7019999999999998,124.806,1,18
(How To Be A) MillionaireABC,1986,Pre-streaming,(How To Be A) Millionaire,ABC,3.59555,0.7179999999999999,0.755,-9.683,0.281,0.8319999999999999,121.678,20,14
(I Can Feel Those Vibrations) This Love Is RealJackie Wilson,1970,Pre-streaming,(I Can Feel Those Vibrations) This Love Is Real,Jackie Wilson,2.9191,0.63,0.8,-6.002,0.4289999999999999,0.7359999999999999,120.811,56,11
