track_name,artists,release_year,era,duration_min,danceability,energy,loudness,acousticness,valence
Testify,Rage Against The Machine,1999,Pre-streaming,3.5022166666666665,0.47,0.978,-5.399,0.0261,0.503
Guerrilla Radio,Rage Against The Machine,1999,Pre-streaming,3.4366666666666665,0.599,0.957,-5.763999999999999,0.0129,0.489
Calm Like a Bomb,Rage Against The Machine,1999,Pre-streaming,4.98155,0.315,0.97,-5.4239999999999995,0.0234,0.37
Mic Check,Rage Against The Machine,1999,Pre-streaming,3.5606666666666666,0.44,0.967,-5.83,0.163,0.574
Sleep Now In the Fire,Rage Against The Machine,1999,Pre-streaming,3.4266666666666667,0.426,0.929,-6.729,0.00162,0.539
Born of a Broken Man,Rage Against The Machine,1999,Pre-streaming,4.682666666666667,0.298,0.848,-5.947,0.0538,0.1939999999999999
Born As Ghosts,Rage Against The Machine,1999,Pre-streaming,3.3673333333333333,0.417,0.976,-6.032,0.0004269999999999,0.483
Maria,Rage Against The Machine,1999,Pre-streaming,3.80155,0.2769999999999999,0.873,-6.5710000000000015,0.00694,0.618
Voice of the Voiceless,Rage Against The Machine,1999,Pre-streaming,2.5262166666666666,0.441,0.882,-7.362999999999999,0.0195,0.418
New Millennium Homes,Rage Against The Machine,1999,Pre-streaming,3.748883333333333,0.4479999999999999,0.861,-6.12,0.00306,0.7609999999999999
Ashes In the Fall,Rage Against The Machine,1999,Pre-streaming,4.6211166666666665,0.456,0.7040000000000001,-6.687,0.0052,0.6559999999999999
War Within a Breath,Rage Against The Machine,1999,Pre-streaming,3.6071166666666667,0.3989999999999999,0.965,-5.901,0.00442,0.174
Bombtrack,Rage Against The Machine,1992,Pre-streaming,4.062666666666667,0.478,0.855,-7.438,0.0134,0.6679999999999999
Killing In the Name,Rage Against The Machine,1992,Pre-streaming,5.227783333333333,0.457,0.779,-6.3229999999999995,0.0185,0.7340000000000001
Take the Power Back,Rage Against The Machine,1992,Pre-streaming,5.597333333333333,0.542,0.8420000000000001,-7.1370000000000005,0.043,0.301
Settle for Nothing,Rage Against The Machine,1992,Pre-streaming,4.788883333333334,0.516,0.5329999999999999,-9.563,0.0253,0.29
Bullet In the Head,Rage Against The Machine,1992,Pre-streaming,5.117783333333334,0.418,0.8059999999999999,-6.965,0.0032,0.447
Know Your Enemy,Rage Against The Machine,1992,Pre-streaming,4.91155,0.574,0.765,-7.755,0.0141,0.613
Wake Up,Rage Against The Machine,1992,Pre-streaming,6.068883333333333,0.411,0.823,-7.5539999999999985,0.00316,0.573
Fistful of Steel,Rage Against The Machine,1992,Pre-streaming,5.51845,0.52,0.755,-9.031,0.0195,0.608
Township Rebellion,Rage Against The Machine,1992,Pre-streaming,5.407116666666667,0.525,0.597,-8.578,0.00747,0.47
Freedom,Rage Against The Machine,1992,Pre-streaming,6.10445,0.499,0.613,-8.53,0.00061,0.531
Love The One You're With,Will Young,2003,Pre-streaming,3.5848833333333334,0.61,0.883,-5.888999999999999,0.24,0.6409999999999999
Your Game,Will Young,2003,Pre-streaming,4.166666666666667,0.741,0.632,-7.837999999999999,0.077,0.593
Stronger,Will Young,2003,Pre-streaming,5.312,0.645,0.513,-8.404,0.296,0.6829999999999999
Leave Right Now,Will Young,2003,Pre-streaming,3.578883333333333,0.6409999999999999,0.445,-8.674,0.145,0.3829999999999999
Love Is A Matter Of Distance,Will Young,2003,Pre-streaming,2.9671166666666666,0.5429999999999999,0.56,-6.982,0.51,0.304
Dance The Night Away,Will Young,2003,Pre-streaming,4.092883333333333,0.77,0.757,-5.386,0.173,0.596
Very Kind,Will Young,2003,Pre-streaming,5.166883333333334,0.77,0.288,-10.32,0.1119999999999999,0.44
Free,Will Young,2003,Pre-streaming,4.117783333333334,0.7170000000000001,0.616,-8.087,0.0576,0.6920000000000001
Going My Way,Will Young,2003,Pre-streaming,3.6891166666666666,0.564,0.395,-9.912,0.337,0.374
Out Of My Mind,Will Young,2003,Pre-streaming,3.1273333333333335,0.79,0.83,-7.254,0.0472,0.945
Listen For The Laugh,Bruce Cockburn,1994,Pre-streaming,4.12155,0.521,0.8140000000000001,-7.903,0.23,0.894
All The Ways I Want You,Bruce Cockburn,1994,Pre-streaming,4.31,0.6970000000000001,0.2339999999999999,-14.984000000000002,0.523,0.336
Bone In My Ear,Bruce Cockburn,1994,Pre-streaming,3.76445,0.417,0.365,-12.711,0.741,0.307
Burden Of The Angel/Beast,Bruce Cockburn,1994,Pre-streaming,6.511116666666667,0.695,0.312,-13.338,0.7929999999999999,0.3720000000000001
Scanning These Crowds,Bruce Cockburn,1994,Pre-streaming,3.82555,0.584,0.611,-9.104,0.139,0.4379999999999999
Southland Of The Heart,Bruce Cockburn,1994,Pre-streaming,4.83155,0.562,0.303,-13.376,0.0367,0.242
Train In The Rain,Bruce Cockburn,1994,Pre-streaming,3.71955,0.5589999999999999,0.313,-17.002,0.94,0.743
Someone I Used To Love,Bruce Cockburn,1994,Pre-streaming,3.5817833333333335,0.4589999999999999,0.3339999999999999,-13.8,0.481,0.384
Love Loves You Too,Bruce Cockburn,1994,Pre-streaming,4.232216666666667,0.613,0.294,-13.13,0.8109999999999999,0.174
Sunrise On The Mississippi,Bruce Cockburn,1994,Pre-streaming,3.018883333333333,0.568,0.307,-13.334,0.877,0.76
Closer to the Light,Bruce Cockburn,1994,Pre-streaming,4.1722166666666665,0.536,0.2189999999999999,-18.2,0.34,0.306
Tie Me At The Crossroads,Bruce Cockburn,1994,Pre-streaming,2.8417833333333333,0.586,0.742,-6.8839999999999995,0.023,0.968
Amber Waves,Tori Amos,2002,Pre-streaming,3.6566666666666667,0.5760000000000001,0.494,-9.917,0.898,0.4370000000000001
A Sorta Fairytale,Tori Amos,2002,Pre-streaming,5.476666666666667,0.605,0.4629999999999999,-9.805,0.6829999999999999,0.888
Wednesday,Tori Amos,2002,Pre-streaming,2.485116666666667,0.5529999999999999,0.413,-13.424,0.888,0.3989999999999999
strange,Tori Amos,2002,Pre-streaming,3.0997833333333333,0.5329999999999999,0.319,-11.448,0.885,0.1969999999999999
Carbon,Tori Amos,2002,Pre-streaming,4.55555,0.4479999999999999,0.584,-9.971,0.8029999999999999,0.4270000000000001
Crazy,Tori Amos,2002,Pre-streaming,4.388216666666667,0.465,0.375,-11.737,0.7609999999999999,0.233
don't make me come to Vegas,Tori Amos,2002,Pre-streaming,4.859333333333334,0.685,0.4320000000000001,-11.278,0.861,0.611
Sweet Sangria,Tori Amos,2002,Pre-streaming,4.028216666666666,0.6779999999999999,0.49,-10.468,0.672,0.685
Your Cloud,Tori Amos,2002,Pre-streaming,4.511333333333333,0.591,0.299,-14.459,0.847,0.149
Pancake,Tori Amos,2002,Pre-streaming,3.9137833333333334,0.5920000000000001,0.55,-9.097,0.8,0.573
I Can't See New York,Tori Amos,2002,Pre-streaming,7.24845,0.4589999999999999,0.401,-11.675,0.8759999999999999,0.18
mrs. jesus,Tori Amos,2002,Pre-streaming,3.08755,0.485,0.295,-12.633,0.921,0.223
Taxi Ride,Tori Amos,2002,Pre-streaming,4.00555,0.55,0.6629999999999999,-7.5870000000000015,0.353,0.642
Another Girl's Paradise,Tori Amos,2002,Pre-streaming,3.5768833333333334,0.618,0.415,-10.983,0.7140000000000001,0.241
Scarlet's Walk,Tori Amos,2002,Pre-streaming,4.280883333333334,0.444,0.392,-12.271,0.963,0.327
Virginia,Tori Amos,2002,Pre-streaming,3.9191166666666666,0.457,0.49,-10.096,0.87,0.2289999999999999
Gold Dust,Tori Amos,2002,Pre-streaming,5.935783333333333,0.276,0.2239999999999999,-11.98,0.923,0.261
Floating Back,The Call,2000,Pre-streaming,4.290183333333333,0.389,0.88,-4.913,0.211,0.5539999999999999
A Swim in the Ocean,The Call,2000,Pre-streaming,7.4658,0.346,0.7440000000000001,-6.381,0.517,0.431
This Is Your Life,The Call,2000,Pre-streaming,4.045066666666667,0.165,0.847,-5.348,0.015,0.564
I Don't Wanna,The Call,2000,Pre-streaming,5.33045,0.265,0.862,-5.7070000000000025,0.182,0.148
You Run,The Call,2000,Pre-streaming,7.5450333333333335,0.247,0.936,-5.048,0.315,0.165
Family,The Call,2000,Pre-streaming,4.276683333333334,0.408,0.518,-8.755,0.297,0.2
Same Old Story,The Call,2000,Pre-streaming,3.877883333333333,0.31,0.939,-7.145,0.0339,0.563
Even Now,The Call,2000,Pre-streaming,5.024216666666667,0.3279999999999999,0.753,-8.842,0.071,0.474
Red Moon,The Call,2000,Pre-streaming,3.2627,0.42,0.377,-10.349,0.6920000000000001,0.179
Oklahoma,The Call,2000,Pre-streaming,5.491816666666667,0.355,0.736,-6.275,0.0142,0.474
You Were There,The Call,2000,Pre-streaming,4.486533333333333,0.344,0.8109999999999999,-5.515,0.183,0.5539999999999999
I Still Believe (Great Design),The Call,2000,Pre-streaming,5.515316666666667,0.503,0.836,-5.56,0.185,0.461
Let the Day Begin,The Call,2000,Pre-streaming,4.4290666666666665,0.428,0.867,-5.051,0.0241,0.3829999999999999
Swear It Again - Radio Edit,Westlife,1999,Pre-streaming,4.132216666666666,0.626,0.532,-7.205,0.296,0.33
If I Let You Go - Radio Edit,Westlife,1999,Pre-streaming,3.6922166666666665,0.5710000000000001,0.6970000000000001,-4.255,0.0057399999999999,0.636
Flying Without Wings,Westlife,1999,Pre-streaming,3.58845,0.4429999999999999,0.493,-7.956,0.3229999999999999,0.283
Fool Again,Westlife,1999,Pre-streaming,3.9177833333333334,0.532,0.526,-6.812,0.0468,0.536
No No,Westlife,1999,Pre-streaming,3.2348833333333333,0.698,0.7909999999999999,-5.437,0.127,0.912
